Marka,Seri,Model,Başlik,Yakit,Vites,Kilometre,Yil,Price;
Seat,Ibiza,1.4 Style,30 BİN KİLOMETRE DE BAKIMLI MASRAFSIZ 2015 MODEL,Benzin,Manuel,30.000,2015,87.000 TL;
Opel,Corsa,1.2 Essentia,CEM DEN HATASIZ 2015 1.2 OPEL CORSA E KASA,Benzin,Manuel,122.000,2015,75.500 TL;
Peugeot,208,1.2 VTi Active,TERTEMİZ Araç 2014 trafige çıkışlı 103 km,Benzin,Manuel,103.000,2013,80.000 TL;
Opel,Astra,1.6 Essentia Konfor,!!! HATASIZ+EMSALS İZ+BOYASIZ+DE ĞİŞENSİZ+34000 KM+KONFOR PK. !!!,Benzin,Manuel,34.000,2012,91.500 TL;
Ford,Focus,1.5 Ti-VCT Trend X,FORD FOCUS 1.5 Tİ-VCT YENİ KASA HATASIZ,Benzin,Manuel,8.500,2018,144.000 TL;
Opel,Corsa,1.2 Twinport Active,opel corsa 2014 model temiz,Benzin,Manuel,78.000,2014,72.900 TL;
Toyota,Auris,1.33 Comfort,ERENDEN TOYOTA AURİS 1.33 HATASIZ BOYASIZ şendoğan bey e opsuyon,Benzin,Manuel,88.000,2012,84.900 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Trendline,2018 14.000 KM - CAM TAVAN - HAYALET GÖSTERGE - HATASIZ BOYASIZ,Benzin,Manuel,14.000,2018,227.500 TL;
Hyundai,i20,1.2 MPI Elite Smart,HASER AUTODAN 2016 HYUNDAİ İ 20 TRAMERSİZ DEĞİŞENSİZ ELİTE SMART,Benzin,Manuel,111.000,2016,96.750 TL;
Volkswagen,Golf,1.2 TSI Comfortline,HATASIZ-BOYASIZ CAM TAVANLI GOLF7 1.2 TSİ COMFORTLİNE EMSALSİZ,Benzin,Manuel,103.000,2013,129.950 TL;
Seat,Leon,1.2 TSI Style,HATASIZ BOYASIZ SEAT LEON CAM GİBİ EKSTRALI SADECE 104.000KM DE,Benzin,Manuel,104.000,2015,119.900 TL;
Toyota,Corolla,1.6 Advance,NAZAR OTOMOTİV 2018 COROLLA 1.6 ADVANCE BOYASIZ 20.000 KMDE,Benzin,Manuel,20.000,2018,147.500 TL;
Opel,Corsa,1.2 Essentia,ERDİLLER'DEN SADECE 2.000KM 2019 OPEL CORSA 1.2 ESSENTİA BOYASIZ,Benzin,Manuel,2.000,2019,99.900 TL;
Honda,S2000,2.0 Vtec,HKS MOTORSdan (hatasız-tram­ersiz-70.000 km-vsa),Benzin,Manuel,70.600,2008,375.000 TL;
Renault,Clio,0.9 TCe Touch,2020 model clio 4 sıfır araç,Benzin,Manuel,1,2020,111.000 TL;
Fiat,Punto,Grande 1.2 S5,KENT AUTO'DAN 1.2 GRANDE PUNTO,Benzin,Manuel,153.000,2010,53.750 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Trendline,TERTEMİZ SIKINTISIZ 2013 PASSAT TREND,Benzin,Manuel,170.000,2013,115.000 TL;
Volkswagen,Jetta,1.2 TSI BlueMotion Comfortline,2016 JETTA COMFORTLİNE,Benzin,Manuel,44.000,2016,128.500 TL;
Opel,Astra,1.6 Essentia,BİNİCİYE MASRAFSIZ,Benzin,Manuel,128.000,2013,70.850 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,İlk sahibinden deyişensiz,Benzin,Manuel,48.000,2014,149.750 TL;
Renault,Symbol,0.9 Joy,( ADRESİNİZE TESLİM ) 2019 SYMBOL 0.9 TCE JOY 90 HP,Benzin,Manuel,4.900,2019,82.750 TL;
Kia,Pro Ceed,1.6 GDI GT,KİA PRO CEED 1.6 GT 204 HP 2013 MODEL KIPKIRMIZI...,Benzin,Manuel,171.000,2013,102.750 TL;
Volkswagen,Golf,1.2 TSI Comfortline,TOYOTA SANDIKÇI__ 2014 VOLKSWAGEN Golf 1.2 TSI BMT Comfortline,Benzin,Manuel,50.948,2014,128.000 TL;
"Renault,Clio,0.9 TCe Joy,""2019 MODEL RENAULT CLİO 0.9 JOY """"SIFIR KM"""""",Benzin,Manuel,15,2019,97.850 TL";
Fiat,Egea,1.4 Fire Urban,VİZYON'DAN EGEA 1.4,Benzin,Manuel,174.000,2016,77.000 TL;
Toyota,Auris,1.33 Life,2016 MODEL HATASIZ AURİS,Benzin,Manuel,84.000,2016,110.000 TL;
Volkswagen,Passat,1.6,1988 VW Passat B2 | Orijinal hali ile muhafaza edilmiştir,Benzin,Manuel,274.000,1988,31.750 TL;
Renault,Megane,1.2 TCe Touch,İLK ELDEN SERVİS GARANTİLİ 1.2 TCE 130 BG TOUCH MEGANE-4,Benzin,Manuel,38.400,2017,118.750 TL;
Opel,Astra,1.6 Edition,NAZAR OTOMOTİV 2015 ASTRA 1.6 EDİTİON EXTRALI 50.000 KM BOYASIZ,Benzin,Manuel,50.000,2015,104.500 TL;
Renault,Symbol,1.2 Joy,2013 hatasız sembol 104 binde,Benzin,Manuel,104.000,2013,61.000 TL;
Renault,Megane,1.6 Joy,2018 TESLA ekranlı,Benzin,Manuel,39.500,2018,118.000 TL;
Renault,Clio,1.2 Joy,ÇELİK OTOMOTİV'DEN 2019 CLİO JOY HATASIZ BOYASIZ,Benzin,Manuel,8.000,2019,89.900 TL;
Opel,Astra,1.6 Essentia,ARAÇ ÇOK DÜŞÜK KM DE SIFIR GİBİ,Benzin,Manuel,86.800,2013,61.500 TL;
Fiat,Punto,Grande 1.4 Fire S&S,**117.000 KMde*START STOP*K.KARTINA 9 TAKSİT İMKANI,Benzin,Manuel,117.000,2012,59.000 TL;
Peugeot,301,1.2 PureTech Access,FARKSAL OTOMOTİV'DEN 2019 PEUGEOT 301 1.2 PURETECH,Benzin,Manuel,5.000,2019,86.500 TL;
Peugeot,307,1.6 XT,307 XT BOYASIZ 1.6 SADECE 84 BİNDE 110 HP FULLER FULÜ,Benzin,Manuel,84.000,2005,62.500 TL;
Ford,Focus,1.6 Ti-VCT Trend X,BOYASIZ 2013 FORD FOCUS 1.6 TREND X 44.000 KM'DE KIRMIZI HATASIZ,Benzin,Manuel,44.000,2013,104.750 TL;
Ford,Mondeo,1.6 Titanium,2011 FORD MONDEO 1.6 ECOBOOST TİTANİUM 160 HP,Benzin,Manuel,224.000,2011,82.000 TL;
Fiat,Egea,1.4 Fire Urban Plus,ZERENden 2019 EGEA URBAN PLUS 9.000km SIFIR HATA GRAM BOYASIZ,Benzin,Manuel,900,2019,105.000 TL;
Fiat,Egea,1.4 Fire Easy,RRMOTORS EGEA SIFIR AYARINDA BOYASIZ HATASIZ 1000KM,Benzin,Manuel,1.100,2019,94.750 TL;
Opel,Astra,1.6 Edition Plus,HATASIZ-BOYASIZ-D­EĞİŞENSİZ-EDİTİON PLUS,Benzin,Manuel,23.000,2017,115.000 TL;
Hyundai,Accent Blue,1.4 CVVT Mode Plus,HATASIZ BOYASIZ TR DE TEK,Benzin,Manuel,45.000,2014,88.500 TL;
Renault,Clio,0.9 TCe Joy,2020 model 0 km 0'9 turbo benzinli,Benzin,Manuel,500,2020,98.800 TL;
"Volkswagen,Polo,1.6 GTI,""MOSTAR,DAN VW POLO 1.6 GTI MANUEL VTS BENZİN,Lİ KISA VADE OLUR"",Benzin,Manuel,199.000,1999,32.900 TL";
Opel,Corsa,1.4 Swing,SAHİBİNDEN OPEL CORSA 1.4,Benzin,Manuel,162.000,1998,27.750 TL;
Fiat,Punto,Grande 1.4 Fire S&S,2012ÇIKIŞLI 79BİN KM HATASIZ BOYASIZ İLK SAHİBİNDEN GRANDE PUNTO,Benzin,Manuel,79.000,2011,64.500 TL;
Renault,Clio,1.0 SCe Joy,YENİ CLİO 5 SIFIR ARAÇ,Benzin,Manuel,150,2020,111.000 TL;
Skoda,Superb,1.4 TSI Comfort,BÜYÜKDERE & OĞUZ MOTORS - SKODA SÜPERB **KAÇMAZ FIRSAT ARACI**,Benzin,Manuel,235.000,2010,71.700 TL;
Kia,Rio,1.25 CVVT Fancy,KAPORASI ALINMIŞTIR ÖZGÜR BEYE HAYIRLI UĞURLU OLSUN,Benzin,Manuel,98.000,2014,73.750 TL;
Opel,Astra,1.6 Edition Plus,EYMEN OTOMOTİVden OPEL ASTRA HATASIZ 8.000 KMDE,Benzin,Manuel,8.800,2016,114.750 TL;
Volkswagen,Jetta,1.2 TSI BlueMotion Trendline,USTUN OTOMOTİVDEN COK TEMİZ JETTA 93 BIN KM DE,Benzin,Manuel,93.000,2015,115.500 TL;
"Citroën,C4,1.4 SX,""DADAŞ OTOMOTİV DEN ACİLL 2008 CITREON C4 1,4İ 16V 5P"",Benzin,Manuel,149.000,2008,43.000 TL";
Toyota,Auris,1.6 Comfort,//2009\\AURİS 1.6 COMFORT FULL DONANIM!!,Benzin,Manuel,108.000,2009,69.250 TL;
Volkswagen,Passat,1.6 FSI Trendline,CADDE CAR RENTAL&OTOMOTİV DEN 1.6 FSI,Benzin,Manuel,217.000,2008,75.250 TL;
"Volkswagen,Golf,1.6 FSI Midline Plus,""2007 Golf 1.6fsi(115bg) değişensiz tramersiz.(1­97,500kmde)"",Benzin,Manuel,197.500,2007,65.500 TL";
Audi,A4,A4 Sedan 1.6,AUDİ A4 SUNROFLU İKİNCİ SAHİBİNDEN,Benzin,Manuel,185.000,2006,83.750 TL;
Volkswagen,Golf,1.6 Primeline,Bakımları yapılmış masrafsız,Benzin,Manuel,238.000,2008,61.000 TL;
Seat,Ibiza,1.2 TSI Style,AUTO MEN'DEN 118.000 KM'DE 2015 MODEL SEAT IBIZA 1.2 TSI STYLE,Benzin,Manuel,118.000,2015,59.000 TL;
Toyota,Corolla,1.6 Terra,ikinci sahibinden çok temiz.,Benzin,Manuel,104.000,2005,73.500 TL;
Audi,100 Serisi,2.6 Quattro,arac gümrük cikis A4 kasa,Benzin,Manuel,275.000,1993,26.000 TL;
"Opel,Corsa,1.4 Enjoy,""ARGON'DAN 2004 Corsa 1.4 Twinport Benzinli, Klima, Abs.."",Benzin,Manuel,218.000,2004,38.750 TL";
Volkswagen,Golf,1.2 TSI Comfortline,Tertemiz Sahibinden,Benzin,Manuel,84.150,2016,143.500 TL;
Seat,Leon,1.4 TSI FR,SAHİBİNDEN BOYASIZ TRAMERSİZ.,Benzin,Manuel,63.200,2015,146.000 TL;
Audi,TT,1.8 T Quattro,Cck otomotiv TT cabrio,Benzin,Manuel,180.000,2000,87.000 TL;
Ford,Escort,1.6 CLX,ÇOK TEMİZ ORJİNAL KM 98 ESCORT,Benzin,Manuel,142.000,1998,25.500 TL;
Suzuki,Swift,1.3 MT 4x2,aileden aileye maviş satılık,Benzin,Manuel,10.000,2006,45.500 TL;
Seat,Leon,1.2 TSI Style,Hasar Kaydı Degişen Yok Led Paket Extralı,Benzin,Manuel,172.000,2013,107.000 TL;
Toyota,Yaris,1.0 Life,Bayan Kullanıcıdan,Benzin,Manuel,55.500,2012,67.500 TL;
Peugeot,307,1.6 XT,Orjinal Değişensiz 145 Bin Km,Benzin,Manuel,145.000,2006,56.500 TL;
Volkswagen,Polo,1.4 Trendline,DÜRBÜN GÖĞÜS DÜŞÜK KM TEMİZ POLO 1.4 16V,Benzin,Manuel,116.000,2000,43.500 TL;
Volkswagen,Polo,1.4 Comfortline,BOYASIZ HATASIZ 1.4 COMFORTLİNE,Benzin,Manuel,67.000,2011,89.750 TL;
Peugeot,208,1.2 VTi Access,PEUGEOT 208 1.2 VTİ,Benzin,Manuel,112.000,2013,65.000 TL;
BMW,3 Serisi,316i Premium,HATASIZ E90 BMW DÜŞÜK KİLOMETRE MEMLEKETTE TEK,Benzin,Manuel,96.000,2009,136.750 TL;
Volkswagen,Jetta,1.6 FSI Comfortline,NOKTA HATASIZ ORJINAL,Benzin,Manuel,190.000,2006,70.500 TL;
Renault,Megane,1.6 Joy,hatasız garantili,Benzin,Manuel,37.500,2018,122.000 TL;
Volkswagen,Passat,1.6 FSI Comfortline,WAR GUEST OTOMOTİVDEN DEGİŞENSİZ 2006 PASSAT,Benzin,Manuel,229.000,2006,69.500 TL;
Volkswagen,Jetta,1.4 TSI BlueMotion Comfortline,METİN ÖTERDEN ÇOOK TEMİZ 2015 1.4 TSİ JETTA YENİ KASA...,Benzin,Manuel,43.000,2015,118.500 TL;
Volkswagen,Golf,1.4 TSI Trendline,2012 ideal golf 6,Benzin,Manuel,148.000,2012,89.750 TL;
Renault,Clio,0.9 TCe Joy,2020 MODEL RENAULT CLİO 0.9 TCE JOY 900 KM SIFIRDAN FARKSIZ,Benzin,Manuel,900,2020,106.900 TL;
Hyundai,Getz,1.3 GLS,Hyundai Getz 1.3 Gls Benzinli,Benzin,Manuel,200.000,2005,35.000 TL;
Citroën,C3,1.4 SX,sahibinden satik,Benzin,Manuel,232.000,2004,34.500 TL;
Dacia,Sandero,1.0 Ambiance,--- SIFIR FARKSIZ 750KM DE KAZASIZ BOYASIZ START STOPLU ---,Benzin,Manuel,750,2019,78.750 TL;
Toyota,Corolla,1.33 Life,DOKTORDAN/ORJ KM 116.000/1.33 BENZİNLİ LPG HİÇ TAKILMAMŞ/BAKIMLI,Benzin,Manuel,116.000,2013,79.750 TL;
Renault,Clio,1.2 Extreme,Renault clio 3. Extereme,Benzin,Manuel,124.000,2008,41.000 TL;
Audi,A3,A3 Hatchback 1.6,GÖZE HİTAP ETMEK İSTEYENLERE ARTIK İLANDA KUPON A3,Benzin,Manuel,310.000,2004,62.500 TL;
Audi,A3,A3 Hatchback 1.4 TFSI,MEMURDAN BİR GÜVENLİK ABİDESİ,Benzin,Manuel,148.500,2010,87.000 TL;
Citroën,C-Elysée,1.2 Live,KAHRAMAN OTOMOTİVDEN HATASIZ 8 BİN KM DE,Benzin,Manuel,8.000,2019,89.000 TL;
Dacia,Sandero,1.0 Ambiance,EMİN OTOMOTİV'DEN 2019 DACİA SANDERO 1.0 AMBİANCE,Benzin,Manuel,8.303,2019,79.500 TL;
Volkswagen,Jetta,1.2 TSI BlueMotion Highline,2016 MODEL JETTA 1.2 TSİ BLUEMOTİON / HİGHLİNE,Benzin,Manuel,120.000,2016,135.000 TL;
Opel,Astra,1.4 T Sport,Acil İhtiyaçtan,Benzin,Manuel,165.000,2012,90.000 TL;
Volkswagen,Golf,1.2 TSI Midline Plus,Hatasız boyasız 52 bin km garaj arabası,Benzin,Manuel,52.000,2015,124.000 TL;
Renault,Symbol,0.9 Joy,0 ayarında 5 yıl garantili symbol,Benzin,Manuel,8.900,2019,99.750 TL;
Toyota,Corolla,1.6 Life,SIFIR ARAC GIBI 2018 MODEL URETICI GARANTILI BOYASIZ DEGISENSIZ,Benzin,Manuel,31.142,2018,125.850 TL;
Opel,Corsa,1.2 Swing,sahibinden temiz,Benzin,Manuel,126.200,1999,33.750 TL;
Renault,Clio,1.2 Joy,SAHİBİNDEN RENAULT CLİO 2018 MODEL BOYASIZ 85500 TL,Benzin,Manuel,23.000,2018,85.500 TL;
Volkswagen,Passat,1.6 FSI Comfortline,06 FRK 02 PASSAT beğenmeyenler 1 hafta içinde iade alınır.,Benzin,Manuel,223.000,2005,62.500 TL;
"Opel,Insignia,1.4 T Edition Elegance,""FULL ORJİNAL, DEGİŞENSİZ İNSİGNİA"",Benzin,Manuel,145.000,2013,112.000 TL";
Skoda,Superb,1.4 TSI Active,ACTİVE + TSİ 125 PS+SADECE KİMLİKLE 48 AY TAKSİTLİ KREDİ İMKANI,Benzin,Manuel,59.500,2018,159.950 TL;
Honda,Civic,1.6i VTEC Elegance,GG MOTORSTAN DAMLA BOYASIZ HONDA CİVİC ELEGANCE KILIÇ GİBİ BEYAZ,Benzin,Manuel,136.000,2010,116.750 TL;
Seat,Ibiza,1.0 EcoTSI Style,ALBENİ OTO DAN SEAT IBIZA 1.0 EcoTSİ STYLE PAKET SIFIR BOYASIZZZ,Benzin,Manuel,16.000,2018,119.750 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,MEMURDAN 39.000 KM KAZASIZ BOYASIZ BEYAZ PASSAT,Benzin,Manuel,39.200,2017,184.500 TL;
Toyota,Auris,1.33 Life,ZEKİDEMİR+AUTO'D­AN+2017+TOYOTA+A­URİS+1.33+LİFE+­BOYASIZ+56BİN'DE,Benzin,Manuel,56.000,2016,103.900 TL;
Suzuki,Swift,1.3 MT 4x4,İLK SAHİBİNDEN ORJİNAL 134000 km,Benzin,Manuel,134.000,2007,51.000 TL;
"Volkswagen,Polo,1.2 Trendline,""Boyasız, temiz, düşük km. li"",Benzin,Manuel,84.400,2013,73.000 TL";
Renault,Megane,1.6 Alize,DEĞİŞENSİZ HATASIZ MEGANE 1,Benzin,Manuel,188.000,2003,65.000 TL;
Volkswagen,Polo,1.0 Trendline,İndigo mavi Polo lansman renk,Benzin,Manuel,95.000,2014,79.800 TL;
Volkswagen,Jetta,1.4 TSI Comfortline,AVUKATTAN Satılık 2007 Model Volkswagen Jetta1.4TSI Comfortline,Benzin,Manuel,329.000,2007,64.900 TL;
Volkswagen,Golf,1.6 FSI Midline,SATILIK 2006 GOLF MİDLİNE,Benzin,Manuel,261,2006,55.000 TL;
Renault,Clio,0.9 TCe Icon,sahibinden satılık lansman rengi renault clio 09 icon,Benzin,Manuel,98.000,2013,78.000 TL;
"Renault,Megane,1.6 Dynamique,""Hatasız,Düşük Km,Cam tavanlı Mercek farlı"",Benzin,Manuel,153.000,2004,72.000 TL";
BMW,3 Serisi,325i Standart,GT-R MOTORS BMW E30 4.4 V8 BEYİN LAUNCH YAZILIM SUNROOF,Benzin,Manuel,111.111,1990,72.000 TL;
Opel,Astra,1.6 Edition Plus,hasar kayıtsız 31000 değişensiz,Benzin,Manuel,31.710,2017,92.500 TL;
Chevrolet,Kalos,1.2 SE,temiz kazasız,Benzin,Manuel,115.000,2004,37.450 TL;
Honda,Civic,1.6i VTEC Elegance,SAHIBINDEN DEGİŞENSİZ ÇOK TEMIZ 88KM,Benzin,Manuel,88.300,2008,97.900 TL;
Skoda,Fabia,1.2 Optimal,Bİ MOTORSTAN SKODA FABİA 1.2 OPTİMAL,Benzin,Manuel,72.000,2012,75.000 TL;
Peugeot,206,1.4 X-Design,Sahibinden 2006 Model 206,Benzin,Manuel,182.000,2006,37.500 TL;
Volkswagen,Polo,1.2 TSI Comfortline,HASAR KAYITSIZ 2014 MODEL WW. POLO 1.2 TSİ,Benzin,Manuel,99.000,2014,79.000 TL;
Volkswagen,Golf,1.4 TSI Highline,DEĞİŞENSİZ BOYASIZ HİGHLİNE 110.000 KM GOLF 7,Benzin,Manuel,110.000,2013,136.000 TL;
Volkswagen,Beetle,1.3,1974 The Beetle,Benzin,Manuel,33.999,1974,25.000 TL;
Fiat,Albea,Sole 1.4 Fire Active,OSMANLI OTOMOTİVDEN CAM GİBİ HATASIZ KLİMALI ALBEA,Benzin,Manuel,120.000,2012,49.750 TL;
Opel,Astra,1.6 Edition,Sahibinden nokta hatasız,Benzin,Manuel,16.000,2015,120.000 TL;
Volkswagen,Jetta,1.2 TSI Trendline,HATASIZ DEĞİŞENSİZ JETTA,Benzin,Manuel,86.000,2015,118.500 TL;
Hyundai,Getz,1.3 GLS,DEĞİŞENSİZ 210 BİNDE SEDAN ARAÇ İSTEDİĞİMDEN SATILIK,Benzin,Manuel,210.000,2005,36.500 TL;
Peugeot,207,1.4 Trendy,172 binde servis bakımlı sorunsuz 207,Benzin,Manuel,172.000,2008,50.000 TL;
Fiat,Punto,EVO 1.4 Dynamic,2010 Model Fıat Punto Evo,Benzin,Manuel,110.000,2010,63.000 TL;
Volkswagen,Jetta,1.4 TSI BlueMotion Trendline,DİNÇKAR AUTOdan HATASIZ 2016 MODEL YENİ KASA JETTA 1.4 TSİ,Benzin,Manuel,138.000,2016,115.000 TL;
Volkswagen,Polo,1.4 Pulse,MERT OTOMOTİVDEN 1.4 POLO,Benzin,Manuel,98.230,2012,89.000 TL;
Volkswagen,Golf,1.6 FSI Goal,EYLÜL OTOMOTİVDEN VW GOLF 1.6 FSİ,Benzin,Manuel,230.000,2006,66.000 TL;
Opel,Corsa,1.4 Enjoy,sunrofflu sis farlı otomatik hasar kayıtsız ilk sahibinden,Benzin,Manuel,31.545,2016,118.000 TL;
Volkswagen,Polo,1.4 Comfortline,SAHİBİNDEN 2014 ÇOK TEMİZ POLO 1.4 BENZİNLİ,Benzin,Manuel,96.000,2014,93.000 TL;
Honda,Jazz,1.4 LS,SÖĞÜTÇÜ AUTO'DAN HONDA JAZZ 1.4,Benzin,Manuel,214.000,2004,40.500 TL;
Fiat,Albea,1.4 Fire Dynamic,2006 MODEL ALBEA 1.4 SOLE KLİMALI 140000 KM DE,Benzin,Manuel,141.000,2006,39.900 TL;
Hyundai,Accent Era,1.6 Team,2009 hundai era sahibinden,Benzin,Manuel,265.000,2009,53.000 TL;
Toyota,Avensis,1.6 Comfort,BAYRAM ŞEKERİ TOYOTA AVENSİS DEĞİŞENSİZ HATASIZ DÜŞÜK KM,Benzin,Manuel,160.000,2004,72.500 TL;
Peugeot,306,1.8 XS,degisensiz hatasız orjinal,Benzin,Manuel,138.000,1997,42.500 TL;
Volkswagen,Jetta,1.2 TSI Comfortline,SAHİBİNDEN TEMİZ GARAJ ARABASI,Benzin,Manuel,89.000,2012,116.000 TL;
"Opel,Astra,1.6 Essentia,""NESİL CAR'DAN 2011 MODEL OPEL ASTRA 1,6 BENZİN ESSENTİA PAKET!!"",Benzin,Manuel,95.000,2011,49.900 TL";
Opel,Corsa,1.4 Twinport Enjoy,Memurdan Satılık Corsa,Benzin,Manuel,95.000,2009,67.000 TL;
Dacia,Sandero,1.0 Ambiance,Hatasız Boyasız Tramersiz 2500 Kmde,Benzin,Manuel,2.500,2019,84.750 TL;
Toyota,Corolla,1.6 Life,HATASIZ BOYASIZ SADECE 22600 KM SERVİS BAKIMLI,Benzin,Manuel,22.600,2018,132.500 TL;
Volkswagen,Polo,1.4 Trendline,temiz 2002 polo,Benzin,Manuel,145.000,2002,37.250 TL;
Renault,Clio,1.2 Joy,UNITED MOTORS: REANAULT CLİO 2015 MODEL 1.2 JOY 43000 KM DE.,Benzin,Manuel,43.500,2015,77.900 TL;
Nissan,Micra,1.2 Passion,41 binde cok temiz memurdan,Benzin,Manuel,41.000,2011,71.000 TL;
Renault,Clio,1.2 Joy,''MALTAŞ'' 2013 RENAULT CLİO 1.2 JOY,Benzin,Manuel,104.000,2013,73.000 TL;
"Ford,Fiesta,1.25 Trend X,""_Dedeman Motors dan FORD_FİESTA_BOY­ASIZ_KM''19,259"",Benzin,Manuel,19.250,2016,89.500 TL";
Volkswagen,Jetta,1.2 TSI Comfortline,HİLAL OTODAN 2013 MODEL JETTA 1.2 TSİ CONFORTLİNE 145000 KM DE,Benzin,Manuel,145.000,2013,95.000 TL;
Chevrolet,Cruze,1.6 Sport,2013 sport paket km yapmamıs,Benzin,Manuel,118.500,2013,68.000 TL;
Hyundai,i20,1.2 MPI Style,Sahibinden Hasarsız&Hatasız,Benzin,Manuel,62.100,2015,96.900 TL;
Nissan,Micra,1.2 Mood,Bayrama arabasız girmeyin!,Benzin,Manuel,158.000,2007,48.750 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Trendline,2. SAHİBİNDN SIFIR KOKUSU ÜZERİNDE TERTEMİZ 2016 MODEL PASSAT,Benzin,Manuel,62.000,2016,152.500 TL;
Fiat,Punto,1.4 Lounge S&S,ATA CITROEN SUBARU PLAZADAN 2014 FİAT PUNTO 1.4 LOUNGE S&S,Benzin,Manuel,63.966,2014,78.750 TL;
Opel,Corsa,1.2 Essentia,2015 65 BİN KM HATASIZ BOYASIZ SIFIRDAN FARKSIZ CORSA E KASA,Benzin,Manuel,65.000,2015,83.750 TL;
Renault,Twingo,1.2 Base,97 TİVİNGO SUNROOF'LU,Benzin,Manuel,240.000,1997,24.750 TL;
Volkswagen,Golf,1.2 TSI Midline Plus,Utanmasa Highline Değişensiz boyasız ful orjinal,Benzin,Manuel,86.000,2013,130.000 TL;
Audi,A3,A3 Sportback 1.6 FSI,2007 CAM TAVANLI A3 (Expertiz Raporunu İncelemeden Aramayınız),Benzin,Manuel,128.000,2007,68.750 TL;
Volkswagen,Golf,1.4 TSI Trendline,En Temiz Ikinci El,Benzin,Manuel,90.000,2010,86.500 TL;
Seat,Leon,1.4 TSI FR,2017 Hata Boya Tramer Yok Carplay Sıfır Tertemiz,Benzin,Manuel,28.000,2017,164.000 TL;
Ford,Fiesta,1.25 Flair,Bakımlı Fiesta Flair,Benzin,Manuel,162.000,1998,27.750 TL;
Toyota,Corolla,1.33 Life,guzel fiyat,Benzin,Manuel,73.000,2015,85.000 TL;
Toyota,Auris,1.33 Comfort,SAHİBİNDEN 2012 Toyata Auris 1.33 Comfort -Düşük Tramer-Düşük KM,Benzin,Manuel,66.800,2012,75.500 TL;
